Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,1.9,-0.417370349,-0.145680684,0.111877015,0.264623682
,,,,,,1.91,-0.417627365,-0.146332131,0.111707062,0.264667213
,,,,,,1.92,-0.416434264,-0.146983595,0.112922022,0.264678143
,,,,,,1.93,-0.417461772,-0.14763509,0.110655378,0.264058575
,,,,,,1.94,-0.4158294,-0.148286635,0.109861138,0.262845269
,,,,,,1.95,-0.413372665,-0.148938243,0.109197348,0.261285007
,,,,,,1.96,-0.413736512,-0.14958993,0.109083194,0.261409853
,,,,,,1.97,-0.413820784,-0.150241714,0.108110204,0.260965494
,,,,,,1.98,-0.413322362,-0.150893608,0.10674139,0.260031876
,,,,,,1.99,-0.412759051,-0.151545629,0.10577981,0.259269431
,,,,,,2,-0.412642721,-0.152197683,0.104730836,0.258686779
,,,,,,2.01,-0.412323344,-0.152848857,0.10273969,0.257531517
,,,,,,2.02,-0.412063268,-0.153497874,0.10267301,0.257368139
,,,,,,2.03,-0.41138039,-0.154143455,0.102274405,0.256827397
,,,,,,2.04,-0.411943272,-0.15478432,0.101821594,0.256882433
,,,,,,2.05,-0.410475464,-0.15541919,0.102524421,0.256499942
,,,,,,2.06,-0.409313388,-0.156046786,0.099615888,0.254464638
,,,,,,2.07,-0.408879061,-0.156665829,0.098487583,0.253683322
,,,,,,2.08,-0.407313556,-0.157275038,0.097010823,0.252162189
,,,,,,2.09,-0.407890852,-0.157873135,0.09508886,0.251489856
,,,,,,2.1,-0.409504221,-0.15845884,0.092684084,0.251094153
,,,,,,2.11,-0.409241782,-0.159030875,0.091577572,0.250409677
,,,,,,2.12,-0.408146268,-0.159587959,0.088087622,0.248116945
,,,,,,2.13,-0.407675242,-0.160128814,0.086419926,0.247047584
,,,,,,2.14,-0.407073133,-0.160652159,0.082753341,0.244913237
,,,,,,2.15,-0.406139417,-0.161156717,0.080962625,0.243551021
,,,,,,2.16,-0.402954664,-0.161641206,0.07936835,0.241161507
,,,,,,2.17,-0.40274533,-0.162104349,0.077056352,0.239900841
,,,,,,2.18,-0.403707216,-0.162544866,0.076663714,0.240185465
,,,,,,2.19,-0.403543167,-0.162961476,0.07384254,0.238692854
,,,,,,2.2,-0.402927596,-0.163352902,0.070840127,0.236883861
,,,,,,2.21,-0.403394409,-0.163717864,0.069841702,0.236618055
,,,,,,2.22,-0.402092085,-0.164055082,0.070125128,0.236108606
,,,,,,2.23,-0.399320715,-0.164363294,0.070738971,0.235029843
,,,,,,2.24,-0.398006389,-0.164641711,0.069364873,0.233685631
,,,,,,2.25,-0.397435342,-0.164890069,0.068405882,0.232920612
,,,,,,2.26,-0.397204626,-0.165108131,0.066498366,0.231851496
,,,,,,2.27,-0.396329983,-0.165295661,0.065073087,0.230701535
,,,,,,2.28,-0.395908379,-0.165452422,0.06511575,0.230512064
,,,,,,2.29,-0.395844301,-0.165578177,0.061618222,0.228731261
,,,,,,2.3,-0.394220085,-0.165672691,0.059791053,0.227005569
,,,,,,2.31,-0.392394233,-0.165735726,0.059775525,0.226084879
,,,,,,2.32,-0.389802875,-0.165767046,0.060340937,0.225071906
,,,,,,2.33,-0.387441907,-0.165766414,0.061399501,0.224420704
,,,,,,2.34,-0.386723743,-0.165733594,0.061813991,0.224268867
,,,,,,2.35,-0.386496878,-0.165668349,0.062210805,0.224353841
,,,,,,2.36,-0.384909235,-0.165570443,0.06176514,0.223337188
,,,,,,2.37,-0.383353937,-0.165439638,0.058794833,0.221074385
