Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,17.47,-2.556587018,-2.31764106,-2.078678429,0.238954295
,,,,,,17.48,-2.559682308,-2.321377113,-2.079759476,0.239961416
,,,,,,17.49,-2.56338436,-2.325053332,-2.083926704,0.239728828
,,,,,,17.5,-2.56622563,-2.328670405,-2.087576758,0.239324436
,,,,,,17.51,-2.569321647,-2.332230898,-2.091442834,0.238939407
,,,,,,17.52,-2.571955287,-2.335737637,-2.095769589,0.238092849
,,,,,,17.53,-2.574628752,-2.339193444,-2.097707482,0.238460635
,,,,,,17.54,-2.579177948,-2.342601144,-2.100425817,0.239376065
,,,,,,17.55,-2.583119791,-2.34596356,-2.103505219,0.239807286
,,,,,,17.56,-2.587129107,-2.349283515,-2.107684426,0.239722341
,,,,,,17.57,-2.590831199,-2.352563834,-2.112586915,0.239122142
,,,,,,17.58,-2.594157764,-2.35580734,-2.115781677,0.239188044
,,,,,,17.59,-2.597411407,-2.359016856,-2.121103037,0.238154185
,,,,,,17.6,-2.599704321,-2.362195207,-2.124881669,0.237411326
,,,,,,17.61,-2.60299519,-2.365345216,-2.126037687,0.238478751
,,,,,,17.62,-2.605579954,-2.368469706,-2.125888797,0.239845579
,,,,,,17.63,-2.606169369,-2.371571501,-2.127604098,0.239282636
,,,,,,17.64,-2.609374563,-2.374653425,-2.128425367,0.240474598
,,,,,,17.65,-2.611271686,-2.377718302,-2.132185639,0.239543023
,,,,,,17.66,-2.613786797,-2.380768955,-2.137337211,0.238224793
,,,,,,17.67,-2.61820144,-2.383808207,-2.138656789,0.239772326
,,,,,,17.68,-2.620516743,-2.386838883,-2.142333337,0.239091703
,,,,,,17.69,-2.62350178,-2.389863806,-2.143106951,0.240197414
,,,,,,17.7,-2.624227675,-2.3928858,-2.142031213,0.241098231
,,,,,,17.71,-2.626180848,-2.395907688,-2.144382069,0.24089939
,,,,,,17.72,-2.631170498,-2.398932294,-2.149935916,0.240617291
,,,,,,17.73,-2.635219099,-2.401962442,-2.152907928,0.241155585
,,,,,,17.74,-2.637093976,-2.405000955,-2.158005419,0.239544278
,,,,,,17.75,-2.639331729,-2.408050657,-2.166397258,0.236467235
,,,,,,17.76,-2.643020626,-2.411114371,-2.1735447,0.234737963
,,,,,,17.77,-2.646864585,-2.41419398,-2.178199884,0.23433235
,,,,,,17.78,-2.649273407,-2.417288577,-2.18199108,0.233641163
,,,,,,17.79,-2.651904915,-2.420396739,-2.187431275,0.23223682
,,,,,,17.8,-2.655426601,-2.423517041,-2.190005898,0.232710352
,,,,,,17.81,-2.658496503,-2.42664806,-2.194291049,0.232102727
,,,,,,17.82,-2.660557265,-2.429788373,-2.196497444,0.232029911
,,,,,,17.83,-2.66239084,-2.432936556,-2.198121521,0.23213466
,,,,,,17.84,-2.66452622,-2.436091185,-2.201615398,0.231455411
,,,,,,17.85,-2.666665518,-2.439250836,-2.204435964,0.231114777
,,,,,,17.86,-2.669198583,-2.442414087,-2.209925617,0.229636483
,,,,,,17.87,-2.671317681,-2.445579513,-2.213681015,0.228818333
,,,,,,17.88,-2.674354504,-2.448745691,-2.216770275,0.228792114
,,,,,,17.89,-2.677517222,-2.451911197,-2.220484203,0.22851651
,,,,,,17.9,-2.680292403,-2.455074608,-2.225686882,0.22730276
,,,,,,17.91,-2.681799227,-2.4582345,-2.230422665,0.225688281
,,,,,,17.92,-2.684532566,-2.461389449,-2.233835885,0.22534834
,,,,,,17.93,-2.688046939,-2.464538032,-2.235298008,0.226374466
,,,,,,17.94,-2.69112393,-2.467678825,-2.239142865,0.225990532
,,,,,,17.95,-2.693755028,-2.470810405,-2.243216531,0.225269249
,,,,,,17.96,-2.696975331,-2.473931348,-2.246781061,0.225097135
,,,,,,17.97,-2.700347661,-2.47704023,-2.249744749,0.225301456
,,,,,,17.98,-2.702424575,-2.480135629,-2.25567188,0.223376348
,,,,,,17.99,-2.704348355,-2.483216119,-2.261748433,0.221299961
,,,,,,18,-2.706270618,-2.486280278,-2.267388105,0.219441256
,,,,,,18.01,-2.708837362,-2.489326681,-2.27169778,0.218569791
,,,,,,18.02,-2.712838839,-2.492353906,-2.27350402,0.21966741
,,,,,,18.03,-2.716430017,-2.495360528,-2.275270627,0.220579695
,,,,,,18.04,-2.719178009,-2.498344808,-2.276839648,0.22116918
,,,,,,18.05,-2.723246241,-2.501304314,-2.283010859,0.220117691
,,,,,,18.06,-2.724902192,-2.504236518,-2.28468245,0.220109871
,,,,,,18.07,-2.725100187,-2.507139335,-2.286253419,0.219423384
,,,,,,18.08,-2.727088222,-2.510011661,-2.291672482,0.21770787
,,,,,,18.09,-2.729046944,-2.512852524,-2.29711578,0.215965582
,,,,,,18.1,-2.730115266,-2.515660955,-2.297229198,0.216443034
,,,,,,18.11,-2.73163328,-2.518435983,-2.299817872,0.215907704
,,,,,,18.12,-2.734493571,-2.521176635,-2.303957143,0.215268214
,,,,,,18.13,-2.735537285,-2.523881942,-2.308532659,0.213502313
,,,,,,18.14,-2.73723788,-2.526550932,-2.314185851,0.211526015
,,,,,,18.15,-2.739370319,-2.529182634,-2.318630117,0.210370101
,,,,,,18.16,-2.741522447,-2.531776078,-2.320963922,0.210279263
,,,,,,18.17,-2.743301674,-2.534330292,-2.321021053,0.21114031
,,,,,,18.18,-2.745124976,-2.536844307,-2.321740006,0.211692485
,,,,,,18.19,-2.747482669,-2.539317149,-2.322360257,0.212561206
,,,,,,18.2,-2.749730542,-2.54174785,-2.325137114,0.212296714
,,,,,,18.21,-2.751488053,-2.544135437,-2.330711907,0.210388073
,,,,,,18.22,-2.7554011,-2.54647894,-2.334273474,0.210563813
,,,,,,18.23,-2.758877081,-2.548777388,-2.337553263,0.210661909
,,,,,,18.24,-2.76028908,-2.55102981,-2.340266491,0.210011294
,,,,,,18.25,-2.759997645,-2.553235235,-2.3392199,0.210388872
,,,,,,18.26,-2.763845055,-2.555392692,-2.339421127,0.212211964
,,,,,,18.27,-2.765194506,-2.55750121,-2.340454139,0.212370183
,,,,,,18.28,-2.767516891,-2.559559819,-2.344246658,0.211635117
,,,,,,18.29,-2.770138093,-2.561567547,-2.344903038,0.212617527
,,,,,,18.3,-2.770961891,-2.563523423,-2.348072964,0.211444464
,,,,,,18.31,-2.771151226,-2.565426476,-2.351890147,0.209630539
,,,,,,18.32,-2.774393479,-2.567275736,-2.354772071,0.209810704
,,,,,,18.33,-2.778199157,-2.569070232,-2.355999059,0.211100049
,,,,,,18.34,-2.77652137,-2.570808992,-2.358422874,0.209049248
,,,,,,18.35,-2.777996725,-2.572491046,-2.361647809,0.208174458
,,,,,,18.36,-2.780323608,-2.574115422,-2.36434907,0.207987269
,,,,,,18.37,-2.783676514,-2.575681151,-2.365896493,0.208890011
,,,,,,18.38,-2.784397265,-2.57718727,-2.366612526,0.208892369
,,,,,,18.39,-2.785064564,-2.578633617,-2.371007822,0.207028371
,,,,,,18.4,-2.786503309,-2.580021376,-2.373692862,0.206405224
,,,,,,18.41,-2.786567021,-2.581351866,-2.3788549,0.20385606
,,,,,,18.42,-2.787693111,-2.582626402,-2.378979542,0.204356784
,,,,,,18.43,-2.789965445,-2.583846301,-2.381139384,0.20441303
,,,,,,18.44,-2.793714856,-2.585012881,-2.381030922,0.206341967
,,,,,,18.45,-2.796920596,-2.586127457,-2.383213824,0.206853386
,,,,,,18.46,-2.797798539,-2.587191347,-2.38385331,0.206972615
,,,,,,18.47,-2.799162981,-2.588205868,-2.385937161,0.20661291
,,,,,,18.48,-2.799632416,-2.589172336,-2.389273657,0.20517938
,,,,,,18.49,-2.80063756,-2.590092068,-2.388937895,0.205849833
,,,,,,18.5,-2.802227275,-2.590966381,-2.391312938,0.205457168
,,,,,,18.51,-2.802895172,-2.591796592,-2.393420846,0.204737163
,,,,,,18.52,-2.804598055,-2.592584017,-2.395329366,0.204634344
,,,,,,18.53,-2.806353503,-2.593329973,-2.393490794,0.206431355
,,,,,,18.54,-2.808578347,-2.594035777,-2.392019976,0.208279185
,,,,,,18.55,-2.809535713,-2.594702747,-2.390197464,0.209669124
,,,,,,18.56,-2.810425149,-2.595332197,-2.391300853,0.209562148
,,,,,,18.57,-2.810058372,-2.595925447,-2.391802704,0.209127834
,,,,,,18.58,-2.811803088,-2.596483811,-2.391711098,0.210045995
,,,,,,18.59,-2.812134729,-2.597008607,-2.391320394,0.210407168
,,,,,,18.6,-2.811639399,-2.597501152,-2.393004268,0.209317565
,,,,,,18.61,-2.812127513,-2.597962762,-2.392902336,0.209612588
,,,,,,18.62,-2.814736088,-2.598394755,-2.394322157,0.210206965
,,,,,,18.63,-2.812725181,-2.598798447,-2.397504866,0.207610157
,,,,,,18.64,-2.814354719,-2.599175155,-2.396759834,0.208797442
,,,,,,18.65,-2.814938564,-2.599526195,-2.397199747,0.208869408
,,,,,,18.66,-2.814202941,-2.599852885,-2.397671293,0.208265824
,,,,,,18.67,-2.814503671,-2.600156541,-2.394980855,0.209761408
,,,,,,18.68,-2.814789265,-2.60043848,-2.395431652,0.209678806
,,,,,,18.69,-2.81404371,-2.600700019,-2.394543144,0.209750283
,,,,,,18.7,-2.814741511,-2.600942469,-2.395125957,0.209807777
,,,,,,18.71,-2.81191487,-2.601166722,-2.394866525,0.208524172
,,,,,,18.72,-2.811958635,-2.601372956,-2.393707756,0.209125439
,,,,,,18.73,-2.812902041,-2.601561281,-2.395534041,0.208684
,,,,,,18.74,-2.814126159,-2.601731809,-2.393115755,0.210505202
,,,,,,18.75,-2.813760232,-2.601884648,-2.392291716,0.210734258
,,,,,,18.76,-2.812740538,-2.602019909,-2.394448312,0.209146113
,,,,,,18.77,-2.812013993,-2.602137702,-2.393157489,0.209428252
,,,,,,18.78,-2.811035647,-2.602238137,-2.393128392,0.208953628
,,,,,,18.79,-2.812114454,-2.602321324,-2.393328752,0.209392851
,,,,,,18.8,-2.813950544,-2.602387374,-2.394253465,0.209848539
,,,,,,18.81,-2.81528822,-2.602436397,-2.396432767,0.209427726
,,,,,,18.82,-2.815971051,-2.602468502,-2.39707604,0.209447505
,,,,,,18.83,-2.81697774,-2.602483799,-2.396690164,0.210143788
,,,,,,18.84,-2.817493335,-2.6024824,-2.396659582,0.210416876
,,,,,,18.85,-2.814884737,-2.602464413,-2.395099673,0.209892532
,,,,,,18.86,-2.816873329,-2.60242995,-2.395222251,0.210825539
,,,,,,18.87,-2.816167758,-2.602379119,-2.397252321,0.209457718
,,,,,,18.88,-2.81894237,-2.602312032,-2.399334859,0.209803755
,,,,,,18.89,-2.819999022,-2.602228798,-2.399483532,0.210257745
,,,,,,18.9,-2.819439229,-2.602129528,-2.398870366,0.210284432
,,,,,,18.91,-2.820101108,-2.602014331,-2.398533936,0.210783586
,,,,,,18.92,-2.81863363,-2.601883318,-2.398963575,0.209835027
,,,,,,18.93,-2.817094235,-2.601736599,-2.400408394,0.208342921
,,,,,,18.94,-2.816110326,-2.601574284,-2.401083289,0.207513519
,,,,,,18.95,-2.815275241,-2.601396483,-2.402589934,0.206342653
,,,,,,18.96,-2.813805898,-2.601203306,-2.401740899,0.2060325
,,,,,,18.97,-2.812707754,-2.600994863,-2.399942523,0.206382615
,,,,,,18.98,-2.812674303,-2.600771265,-2.400883577,0.205895363
,,,,,,18.99,-2.813191143,-2.600532621,-2.4004833,0.206353921
,,,,,,19,-2.813553729,-2.600279042,-2.400091392,0.206731168
,,,,,,19.01,-2.815344719,-2.600010487,-2.398294268,0.208525226
,,,,,,19.02,-2.815454829,-2.599726313,-2.398988133,0.208233348
,,,,,,19.03,-2.813300921,-2.599426168,-2.396134414,0.208583254
,,,,,,19.04,-2.813384403,-2.599111002,-2.397000569,0.208191917
,,,,,,19.05,-2.811349116,-2.59878201,-2.39825579,0.206546663
,,,,,,19.06,-2.810010913,-2.598440384,-2.398845943,0.205582485
,,,,,,19.07,-2.810191568,-2.598087319,-2.398442028,0.20587477
,,,,,,19.08,-2.8094194,-2.597724007,-2.398428245,0.205495578
,,,,,,19.09,-2.809541107,-2.597351642,-2.397133305,0.206203901
,,,,,,19.1,-2.809088745,-2.596971418,-2.395905646,0.20659155
,,,,,,19.11,-2.808673356,-2.596584528,-2.394533216,0.20707007
,,,,,,19.12,-2.807713099,-2.596192165,-2.391400417,0.208156341
,,,,,,19.13,-2.806597605,-2.595795523,-2.390299195,0.208149205
,,,,,,19.14,-2.805593322,-2.595395795,-2.386931567,0.209330877
,,,,,,19.15,-2.803845684,-2.594994176,-2.38566263,0.209091527
,,,,,,19.16,-2.802188859,-2.594591857,-2.386744096,0.207722382
,,,,,,19.17,-2.801984982,-2.594190033,-2.386181259,0.207901861
,,,,,,19.18,-2.800910195,-2.593789897,-2.386934367,0.206987914
,,,,,,19.19,-2.80044631,-2.593392642,-2.387479444,0.206483433
,,,,,,19.2,-2.799188926,-2.592999462,-2.386383589,0.206402669
,,,,,,19.21,-2.798492524,-2.592611551,-2.38537554,0.206558492
,,,,,,19.22,-2.796728172,-2.592230101,-2.385230688,0.205748742
,,,,,,19.23,-2.795522398,-2.591856307,-2.384064884,0.205728757
,,,,,,19.24,-2.796281045,-2.591491361,-2.381874624,0.207203211
,,,,,,19.25,-2.794860433,-2.591136458,-2.380756533,0.20705195
,,,,,,19.26,-2.794705627,-2.59079279,-2.381118492,0.206793567
,,,,,,19.27,-2.792617451,-2.590461551,-2.382510021,0.205053715
,,,,,,19.28,-2.791768013,-2.590143934,-2.383063151,0.204352431
,,,,,,19.29,-2.792141412,-2.589841134,-2.380484453,0.205828479
,,,,,,19.3,-2.790910224,-2.589554342,-2.381275713,0.204817255
,,,,,,19.31,-2.79166919,-2.589284753,-2.381879469,0.20489486
,,,,,,19.32,-2.790118987,-2.589033561,-2.381239411,0.204439788
,,,,,,19.33,-2.788659807,-2.588801958,-2.382012619,0.203323594
,,,,,,19.34,-2.789977137,-2.588591138,-2.381212762,0.204382187
,,,,,,19.35,-2.789780046,-2.588402295,-2.380483775,0.204648135
,,,,,,19.36,-2.788820333,-2.588236622,-2.379362212,0.204729061
,,,,,,19.37,-2.78722707,-2.588095312,-2.376927008,0.205150031
,,,,,,19.38,-2.786641719,-2.587979559,-2.379206629,0.203717545
,,,,,,19.39,-2.784873941,-2.587890572,-2.378910635,0.202981653
,,,,,,19.4,-2.783187377,-2.587830202,-2.379267441,0.201959968
,,,,,,19.41,-2.782349752,-2.587801126,-2.38087468,0.200737536
,,,,,,19.42,-2.784591026,-2.587806082,-2.380837444,0.201876791
,,,,,,19.43,-2.784984811,-2.587847803,-2.379940285,0.202522263
,,,,,,19.44,-2.78522863,-2.587929025,-2.380855893,0.202186369
,,,,,,19.45,-2.785920302,-2.588052482,-2.382250504,0.201834899
,,,,,,19.46,-2.787096022,-2.588220911,-2.38372048,0.201687771
,,,,,,19.47,-2.787455375,-2.588437045,-2.383286863,0.202084256
,,,,,,19.48,-2.789916742,-2.58870362,-2.38405006,0.202933341
,,,,,,19.49,-2.789373885,-2.589023372,-2.383948447,0.202712719
,,,,,,19.5,-2.790468923,-2.589399035,-2.384240852,0.203114035
,,,,,,19.51,-2.793008194,-2.589833344,-2.385865421,0.203571386
,,,,,,19.52,-2.792824181,-2.590329035,-2.386380898,0.203221641
,,,,,,19.53,-2.795167258,-2.590888842,-2.388866126,0.203150566
,,,,,,19.54,-2.794186373,-2.591515501,-2.390213365,0.201986504
,,,,,,19.55,-2.793237656,-2.592211747,-2.393574674,0.199831491
,,,,,,19.56,-2.792253281,-2.592980314,-2.395210951,0.198521165
,,,,,,19.57,-2.793617817,-2.593823939,-2.39796339,0.197827214
,,,,,,19.58,-2.792828975,-2.594745355,-2.40145338,0.195687797
,,,,,,19.59,-2.793946238,-2.595747298,-2.404451437,0.1947474
,,,,,,19.6,-2.793504536,-2.596832504,-2.405872163,0.193816187
,,,,,,19.61,-2.793431491,-2.598003707,-2.407092608,0.193169441
,,,,,,19.62,-2.793244892,-2.599263642,-2.409628818,0.191808037
,,,,,,19.63,-2.793160143,-2.600615044,-2.411737716,0.190711214
,,,,,,19.64,-2.794673791,-2.602060649,-2.413734527,0.190469632
,,,,,,19.65,-2.794666501,-2.603603192,-2.411955186,0.191355658
,,,,,,19.66,-2.795496119,-2.605245408,-2.415064219,0.19021595
,,,,,,19.67,-2.796058692,-2.606989749,-2.418326531,0.18886608
,,,,,,19.68,-2.795065659,-2.608834459,-2.420428914,0.187318373
,,,,,,19.69,-2.794121424,-2.610774534,-2.42564241,0.184239507
,,,,,,19.7,-2.795856661,-2.61280489,-2.429640666,0.183107998
,,,,,,19.71,-2.798001079,-2.614920443,-2.432689719,0.18265568
,,,,,,19.72,-2.797492718,-2.617116106,-2.43838944,0.179551639
,,,,,,19.73,-2.797379403,-2.619386796,-2.441907751,0.177735826
,,,,,,19.74,-2.795381689,-2.621727428,-2.443595205,0.175893242
,,,,,,19.75,-2.79770877,-2.624132916,-2.446537073,0.175585849
,,,,,,19.76,-2.797006527,-2.626598176,-2.450355392,0.173325567
,,,,,,19.77,-2.802100976,-2.629118123,-2.454744526,0.173678225
,,,,,,19.78,-2.805077454,-2.631687671,-2.459909882,0.172583786
,,,,,,19.79,-2.806925367,-2.634301737,-2.464852267,0.17103655
,,,,,,19.8,-2.806822534,-2.636955234,-2.469484512,0.168669011
,,,,,,19.81,-2.808297752,-2.639643079,-2.472711678,0.167793037
,,,,,,19.82,-2.811613607,-2.642360185,-2.475799941,0.167906833
,,,,,,19.83,-2.814603914,-2.64510147,-2.480952846,0.166825534
,,,,,,19.84,-2.815126013,-2.647861846,-2.485981664,0.164572174
,,,,,,19.85,-2.817138421,-2.65063623,-2.489567359,0.163785531
,,,,,,19.86,-2.816654434,-2.653419537,-2.493842366,0.161406034
,,,,,,19.87,-2.819363956,-2.656206682,-2.497501807,0.160931074
,,,,,,19.88,-2.821297846,-2.658992579,-2.498032872,0.161632487
,,,,,,19.89,-2.822665389,-2.661772144,-2.501406543,0.160629423
,,,,,,19.9,-2.824983353,-2.664540292,-2.506755977,0.159113688
,,,,,,19.91,-2.826545993,-2.667292034,-2.508838757,0.158853618
,,,,,,19.92,-2.82884092,-2.670022762,-2.514931172,0.156954874
,,,,,,19.93,-2.83321875,-2.672727965,-2.519225691,0.156996529
,,,,,,19.94,-2.835365162,-2.675403131,-2.522072347,0.156646407
,,,,,,19.95,-2.838074661,-2.678044123,-2.524966855,0.156553903
,,,,,,19.96,-2.841952545,-2.680648828,-2.528127101,0.156912722
,,,,,,19.97,-2.842966396,-2.683215817,-2.532385056,0.15529067
,,,,,,19.98,-2.843200506,-2.685743659,-2.533547833,0.154826336
,,,,,,19.99,-2.845180593,-2.688230924,-2.53485754,0.155161526
,,,,,,20,-2.848208834,-2.690676362,-2.537288377,0.155460229
,,,,,,20.01,-2.850843226,-2.693080049,-2.542195751,0.154323738
,,,,,,20.02,-2.852313975,-2.695442656,-2.545999813,0.153157081
,,,,,,20.03,-2.854905282,-2.697764859,-2.548724714,0.153090284
,,,,,,20.04,-2.856308694,-2.700047329,-2.549730791,0.153288951
,,,,,,20.05,-2.858375789,-2.702290743,-2.550118665,0.154128562
,,,,,,20.06,-2.860338126,-2.704495774,-2.552011706,0.15416321
,,,,,,20.07,-2.865138819,-2.706663095,-2.551886008,0.156626406
,,,,,,20.08,-2.866479783,-2.708793381,-2.554464906,0.156007438
,,,,,,20.09,-2.867863592,-2.710887306,-2.554396932,0.15673333
,,,,,,20.1,-2.869526926,-2.712945545,-2.556627845,0.156449541
,,,,,,20.11,-2.870657516,-2.71496877,-2.556763593,0.156946962
,,,,,,20.12,-2.873183522,-2.716957657,-2.559331629,0.156925946
,,,,,,20.13,-2.876387009,-2.718912879,-2.561848099,0.157269455
,,,,,,20.14,-2.879547079,-2.72083511,-2.561398051,0.159074514
,,,,,,20.15,-2.881712116,-2.722725025,-2.560832655,0.160439731
,,,,,,20.16,-2.88466092,-2.724583297,-2.56292427,0.160868325
,,,,,,20.17,-2.887241709,-2.7264106,-2.562709145,0.162266282
,,,,,,20.18,-2.889706132,-2.728207609,-2.562806836,0.163449648
,,,,,,20.19,-2.891547511,-2.729974998,-2.562315054,0.164616229
,,,,,,20.2,-2.895602375,-2.731713441,-2.563035454,0.166283461
,,,,,,20.21,-2.899194188,-2.733423611,-2.563599497,0.167797346
,,,,,,20.22,-2.903720421,-2.735106183,-2.567166667,0.168276877
,,,,,,20.23,-2.906109885,-2.736761831,-2.567158726,0.16947558
,,,,,,20.24,-2.909504491,-2.738391229,-2.56916156,0.170171465
,,,,,,20.25,-2.911389341,-2.739995051,-2.569998543,0.170695399
,,,,,,20.26,-2.91443077,-2.741573971,-2.571227412,0.171601679
,,,,,,20.27,-2.916670993,-2.743128664,-2.572906995,0.171881999
,,,,,,20.28,-2.918985136,-2.744659802,-2.571157504,0.173913816
,,,,,,20.29,-2.920527155,-2.746168061,-2.573017039,0.173755058
,,,,,,20.3,-2.921863256,-2.747654114,-2.573984737,0.17393926
,,,,,,20.31,-2.924583464,-2.749118636,-2.573296032,0.175643716
,,,,,,20.32,-2.92740213,-2.75056229,-2.57155705,0.17792254
,,,,,,20.33,-2.930417398,-2.751985508,-2.573414122,0.178501638
,,,,,,20.34,-2.93242104,-2.753388488,-2.573809467,0.179305787
,,,,,,20.35,-2.93498499,-2.754771421,-2.571944768,0.181520111
,,,,,,20.36,-2.937152,-2.756134493,-2.571982228,0.182584886
,,,,,,20.37,-2.941597249,-2.757477896,-2.572118225,0.184739512
,,,,,,20.38,-2.943413504,-2.758801816,-2.573011021,0.185201241
,,,,,,20.39,-2.944651802,-2.760106444,-2.57339226,0.185629771
,,,,,,20.4,-2.945127948,-2.761391967,-2.575250022,0.184938963
,,,,,,20.41,-2.948528918,-2.762658575,-2.575747367,0.186390775
,,,,,,20.42,-2.950238829,-2.763906457,-2.576226827,0.187006001
,,,,,,20.43,-2.953724082,-2.765135802,-2.57657341,0.188575336
,,,,,,20.44,-2.956963954,-2.766346797,-2.57663245,0.190165752
,,,,,,20.45,-2.959681571,-2.767539633,-2.574772043,0.192454764
,,,,,,20.46,-2.963064087,-2.768714498,-2.575135691,0.193964198
,,,,,,20.47,-2.967078051,-2.769871581,-2.578413635,0.194332208
,,,,,,20.48,-2.969945165,-2.771011071,-2.577893832,0.196025667
,,,,,,20.49,-2.972305147,-2.772133157,-2.578274371,0.197015388
,,,,,,20.5,-2.973692278,-2.773238026,-2.578149852,0.197771213
,,,,,,20.51,-2.974814536,-2.77432587,-2.577748604,0.198532966
,,,,,,20.52,-2.975942065,-2.775396875,-2.576291066,0.199825499
,,,,,,20.53,-2.977570314,-2.776451231,-2.574840057,0.201365128
,,,,,,20.54,-2.980249264,-2.777489128,-2.575139682,0.202554791
,,,,,,20.55,-2.982562396,-2.778510753,-2.574270118,0.204146139
,,,,,,20.56,-2.985357203,-2.779516296,-2.573403128,0.205977037
,,,,,,20.57,-2.987062535,-2.780505945,-2.574311931,0.206375302
,,,,,,20.58,-2.988894527,-2.781479889,-2.573207006,0.207843761
,,,,,,20.59,-2.991153904,-2.782438318,-2.573765803,0.208694051
,,,,,,20.6,-2.991552029,-2.78338142,-2.572313609,0.20961921
,,,,,,20.61,-2.992669105,-2.784309383,-2.571326915,0.210671095
,,,,,,20.62,-2.99428124,-2.785222398,-2.570541327,0.211869956
,,,,,,20.63,-2.99534837,-2.786120652,-2.570077826,0.212635272
,,,,,,20.64,-2.996285496,-2.787004334,-2.566774752,0.214755372
,,,,,,20.65,-2.9989547,-2.787873634,-2.566985503,0.215984599
,,,,,,20.66,-3.003245352,-2.78872874,-2.566681334,0.218282009
,,,,,,20.67,-3.005213145,-2.789569841,-2.566867251,0.219172947
,,,,,,20.68,-3.007874564,-2.790397125,-2.568744636,0.219564964
,,,,,,20.69,-3.008646943,-2.791210783,-2.568258686,0.220194128
,,,,,,20.7,-3.009686287,-2.792011002,-2.56571597,0.221985158
,,,,,,20.71,-3.012755406,-2.792797972,-2.559884754,0.226435326
,,,,,,20.72,-3.015167615,-2.79357188,-2.558546964,0.228310325
,,,,,,20.73,-3.017633921,-2.794332917,-2.556681356,0.230476282
,,,,,,20.74,-3.019985671,-2.795081271,-2.556027165,0.231979253
,,,,,,20.75,-3.02298127,-2.795817131,-2.555209668,0.233885801
,,,,,,20.76,-3.025414153,-2.796540686,-2.55447308,0.235470537
,,,,,,20.77,-3.027371345,-2.797252124,-2.555289171,0.236041087
,,,,,,20.78,-3.029598995,-2.797951635,-2.55358692,0.238006037
,,,,,,20.79,-3.030699682,-2.798639406,-2.551882638,0.239408522
,,,,,,20.8,-3.030365169,-2.799315628,-2.551473067,0.239446051
,,,,,,20.81,-3.031147136,-2.799980489,-2.552152193,0.239497471
,,,,,,20.82,-3.032293332,-2.800634182,-2.552409859,0.239941736
,,,,,,20.83,-3.033695734,-2.801276992,-2.552267313,0.24071421
,,,,,,20.84,-3.034888438,-2.801909295,-2.552831702,0.241028368
,,,,,,20.85,-3.036493779,-2.802531474,-2.553086873,0.241703453
,,,,,,20.86,-3.037061452,-2.803143909,-2.552270954,0.242395249
,,,,,,20.87,-3.03812061,-2.803746981,-2.552781912,0.242669349
,,,,,,20.88,-3.038597367,-2.804341072,-2.552989314,0.242804026
,,,,,,20.89,-3.039631135,-2.804926562,-2.551169528,0.244230803
,,,,,,20.9,-3.039918176,-2.805503832,-2.552367394,0.243775391
,,,,,,20.91,-3.040806539,-2.806073265,-2.553926726,0.243439907
,,,,,,20.92,-3.042856462,-2.80663524,-2.552398182,0.24522914
,,,,,,20.93,-3.044106484,-2.80719014,-2.550726102,0.246690191
,,,,,,20.94,-3.045203888,-2.807738344,-2.550909513,0.247147187
,,,,,,20.95,-3.044595925,-2.808280235,-2.551876281,0.246359822
,,,,,,20.96,-3.045583165,-2.808816193,-2.553456891,0.246063137
,,,,,,20.97,-3.046093227,-2.8093466,-2.552696212,0.246698507
,,,,,,20.98,-3.046199613,-2.809871883,-2.55250057,0.246849521
,,,,,,20.99,-3.046775617,-2.810392571,-2.555480842,0.245647387
,,,,,,21,-3.049414856,-2.810909208,-2.556844941,0.246284958
,,,,,,21.01,-3.049574254,-2.811422338,-2.556426982,0.246573636
,,,,,,21.02,-3.052888043,-2.811932503,-2.558765612,0.247061216
,,,,,,21.03,-3.053185357,-2.812440248,-2.559022899,0.247081229
,,,,,,21.04,-3.052950723,-2.812946116,-2.558088898,0.247430912
,,,,,,21.05,-3.052994099,-2.81345065,-2.559252102,0.246870998
,,,,,,21.06,-3.05567409,-2.813954394,-2.558754776,0.248459657
,,,,,,21.07,-3.058144154,-2.814457891,-2.558314523,0.249914816
,,,,,,21.08,-3.060414622,-2.814961684,-2.558628967,0.250892828
,,,,,,21.09,-3.062673861,-2.815466318,-2.560296144,0.251188859
,,,,,,21.1,-3.064807269,-2.815972336,-2.558721517,0.253042876
,,,,,,21.11,-3.06470229,-2.81648028,-2.557250782,0.253725754
,,,,,,21.12,-3.068308732,-2.816990695,-2.558825646,0.254741543
,,,,,,21.13,-3.070587836,-2.817504124,-2.559743865,0.255421986
,,,,,,21.14,-3.071471515,-2.818021111,-2.559551875,0.25595982
