ID,Latitude,Longitude,Year (CE),RSL (mm),RSL std (mm)
32.0,52.462222,4.554722,1985.0,-14.808780137685062,2.79936908177884
32.0,52.462222,4.554722,1995.0,-12.153985867821575,2.799369087450745
32.0,52.462222,4.554722,2005.0,37.75639317923651,2.799369089703335
32.0,52.462222,4.554722,2015.0,37.29615551946608,2.7994513075763905
47.0,58.974339,5.730121,1925.0,-60.25177582688684,23.85647851934072
47.0,58.974339,5.730121,1935.0,-15.295710598983533,4.101450151696781
47.0,58.974339,5.730121,1945.0,-78.99678047348698,47.52472635239184
47.0,58.974339,5.730121,1955.0,-28.870941644780032,4.526000905647305
47.0,58.974339,5.730121,1965.0,-31.917445880910236,6.839789164463657
47.0,58.974339,5.730121,1975.0,-51.508420541074884,7.603929155242832
47.0,58.974339,5.730121,1985.0,-1.7079554566416846,2.808597693165489
47.0,58.974339,5.730121,1995.0,-23.27106292460121,2.8085976982062237
47.0,58.974339,5.730121,2005.0,13.783676890162496,2.8085976969466158
47.0,58.974339,5.730121,2015.0,15.144945660681515,2.8085978785673142
58.0,60.398046,5.320487,1915.0,-0.2601172951553963,0.36038589263821763
58.0,60.398046,5.320487,1925.0,-0.25766741267307225,0.35568155520866035
58.0,60.398046,5.320487,1935.0,-0.25521952637154754,0.3517484672960669
58.0,60.398046,5.320487,1945.0,-0.252773421274469,0.3486127416617373
58.0,60.398046,5.320487,1955.0,-0.25032870089125936,0.3462960448603792
58.0,60.398046,5.320487,1965.0,-0.24788486160377943,0.3448148905991929
58.0,60.398046,5.320487,1975.0,-0.2454414163285037,0.34418006887646047
58.0,60.398046,5.320487,1985.0,-0.24299805824466603,0.3443962629619885
58.0,60.398046,5.320487,1995.0,-0.24055493104333436,0.34546187838581693
58.0,60.398046,5.320487,2005.0,-0.23811256639601197,0.3473690991779217
58.0,60.398046,5.320487,2015.0,-0.23567163181633077,0.35010416953490675
95.0,55.007444,-1.439778,1895.0,-148.13849584621858,66.36761338912709
95.0,55.007444,-1.439778,1905.0,-180.09753946326873,4.663201100703403
95.0,55.007444,-1.439778,1915.0,-151.86532933876333,2.8012375328415913
95.0,55.007444,-1.439778,1925.0,-149.51677968125477,4.650141475901172
95.0,55.007444,-1.439778,1935.0,-110.80209903014475,2.7882007454359647
95.0,55.007444,-1.439778,1945.0,-89.69828263922227,3.97859479785433
95.0,55.007444,-1.439778,1955.0,-91.39809072199296,4.654037095229021
95.0,55.007444,-1.439778,1965.0,-55.04852362706606,8.226157670894793
95.0,55.007444,-1.439778,1975.0,-74.9428714281421,18.207355153190115
95.0,55.007444,-1.439778,1985.0,-34.182014722949134,3.936756166552025
95.0,55.007444,-1.439778,1995.0,-23.836734738001724,5.902851413334023
95.0,55.007444,-1.439778,2005.0,31.525362763204612,5.579034665272863
96.0,44.666667,-63.583333,1895.0,-469.9425465139311,121.98405196719483
96.0,44.666667,-63.583333,1905.0,-61.50326120683894,219.3913671258536
96.0,44.666667,-63.583333,1915.0,-158.62463498021316,124.60013062164528
96.0,44.666667,-63.583333,1925.0,-265.98035266858005,2.7994653056369763
96.0,44.666667,-63.583333,1935.0,-226.36848361365992,2.7944976731846483
96.0,44.666667,-63.583333,1945.0,-168.51486511070834,2.7944976718122225
96.0,44.666667,-63.583333,1955.0,-136.05295306223343,2.7944976712845455
96.0,44.666667,-63.583333,1965.0,-110.09745204897627,2.7944976708424996
96.0,44.666667,-63.583333,1975.0,-69.74258494148489,2.807215186667893
96.0,44.666667,-63.583333,1985.0,-57.01205041524008,4.279264525109421
96.0,44.666667,-63.583333,1995.0,-47.359533971925885,10.28733410307515
96.0,44.666667,-63.583333,2005.0,-25.367522157385793,11.107128748322047
112.0,30.671667,-81.465,1895.0,-507.62005655353187,92.62394086882945
112.0,30.671667,-81.465,1905.0,-178.1442915030657,2.797290724637657
112.0,30.671667,-81.465,1915.0,-209.37987001213423,2.7972906754184192
112.0,30.671667,-81.465,1925.0,-211.15387673622445,49.094534451164314
112.0,30.671667,-81.465,1935.0,-191.76872091196765,76.45048990713967
112.0,30.671667,-81.465,1945.0,-109.31768815113628,2.7973608700150874
112.0,30.671667,-81.465,1955.0,-110.21158061995357,2.7972906622858904
112.0,30.671667,-81.465,1965.0,-104.21359583921458,2.797290661018879
112.0,30.671667,-81.465,1975.0,-63.71105559177795,2.797290661874343
112.0,30.671667,-81.465,1985.0,-51.76346091331743,3.370549663392441
112.0,30.671667,-81.465,1995.0,-20.323927287327933,10.27616837746247
112.0,30.671667,-81.465,2005.0,1.6687665897025,5.774442344318963
112.0,30.671667,-81.465,2015.0,55.46288622763586,3.359189981646012
126.0,46.333333,-72.55,1925.0,346.19230069220066,32.07520619805824
126.0,46.333333,-72.55,1935.0,-245.92616012490453,2.8088912509361985
126.0,46.333333,-72.55,1945.0,14.148636454776351,2.80889124716698
126.0,46.333333,-72.55,1955.0,103.29952365254394,2.8088912490964884
126.0,46.333333,-72.55,1965.0,-222.31302542907179,2.820864256441772
126.0,46.333333,-72.55,1975.0,321.22655744702934,3.4213367646033324
126.0,46.333333,-72.55,1985.0,74.66499576659953,4.081361960926714
126.0,46.333333,-72.55,1995.0,-6.5310218959493795,3.4280108269409877
126.0,46.333333,-72.55,2005.0,-177.31634941383072,2.8208642604655885
126.0,46.333333,-72.55,2015.0,23.32609121454243,2.8209531524258233
135.0,39.933333,-75.141667,1905.0,-266.2258022575552,2.8163044244844833
135.0,39.933333,-75.141667,1915.0,-256.90331056181094,2.7933645398617686
135.0,39.933333,-75.141667,1925.0,-246.71521394760293,4.656024042513982
135.0,39.933333,-75.141667,1935.0,-186.172381805648,2.791253171181796
135.0,39.933333,-75.141667,1945.0,-171.4771018875108,2.7912531710728943
